Avg_Satisfaction_with_previous_vote,Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_monthly_expense_when_under_age_21,Will_vote_only_large_party,Garden_sqr_meter_per_person_in_residancy_area,Is_Most_Important_Issue_Other,Is_Most_Important_Issue_Financial,Is_Most_Important_Issue_Environment,Is_Most_Important_Issue_Military,Is_Most_Important_Issue_Education,Is_Most_Important_Issue_Foreign_Affairs,Is_Most_Important_Issue_Social,Vote
0.490715183049,0.818181818182,0.605945460444,0.799577515276,0.490715183049,-1.0,0.358097242115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
0.441852550864,0.272727272727,0.404523352072,0.548961821806,0.441852550864,0.0,0.485411468648,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
0.180558371118,0.727272727273,0.70691253892,0.472863210296,0.180558371118,1.0,0.719860380694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
0.292011253946,0.818181818182,0.496321430125,0.56178351159,0.292011253946,-1.0,0.445991356855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.459133285794,0.454545454545,0.415331260881,0.46262949067,0.459133285794,-1.0,0.345641478798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.603630916893,0.545454545455,0.826847581661,0.578093755409,0.603630916893,1.0,0.261766538919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.329041720924,1.0,0.463107543458,0.67156648631,0.329041720924,-1.0,0.566551400675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
0.345254979197,0.636363636364,0.566597675506,0.626226726848,0.345254979197,-1.0,0.548956983401,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
0.561422521168,0.909090909091,0.335194374903,0.509382082467,0.561422521168,1.0,0.757791406666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
0.454130534902,0.454545454545,0.55364833877,0.608076660422,0.454130534902,-1.0,0.591050635827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
0.445993332884,0.0909090909091,0.46857957683,0.488720761418,0.445993332884,-1.0,0.418220024538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.318460198152,0.636363636364,0.481239745391,0.616284060474,0.318460198152,-1.0,0.495479910907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.562544202213,0.363636363636,0.530850537896,0.566346794891,0.562910125068,0.0,0.606898094928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
0.342594030953,0.636363636364,0.570148458307,0.841259810029,0.342594030953,-1.0,0.311821329594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
0.299866777193,0.454545454545,0.629402620357,0.795645352281,0.299866777193,-1.0,0.316397030759,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
0.360718691395,0.454545454545,0.527786409436,0.713418534902,0.360718691395,0.0,0.532464309297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.518989423006,0.272727272727,0.527907403033,0.578645362251,0.518989423006,-1.0,0.577534673634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.345909297141,0.181818181818,0.44364473561,0.491031717282,0.345909297141,-1.0,0.357166929994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.320230486063,0.0909090909091,0.467195709353,0.48728160508,0.320230486063,0.0,0.540869154016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
0.405288747653,0.272727272727,0.481281768242,0.605178956357,0.405288747653,-1.0,0.456642870249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
0.32031414497,0.272727272727,0.431666681903,0.52973848014,0.32031414497,0.0,0.509530748201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
0.463918992067,0.272727272727,0.536880628702,0.605347158618,0.463918992067,-1.0,0.558960655703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.444297531547,0.363636363636,0.753575103033,0.592870615034,0.444297531547,-1.0,0.771564924245,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
0.37124324648,0.363636363636,0.535700119246,0.568896691328,0.37124324648,-1.0,0.56558842092,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.484381208209,0.0909090909091,0.642729533286,0.488573339126,0.484381208209,0.0,0.510039061606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
0.536433320228,0.272727272727,0.510226047354,0.582994306719,0.536433320228,0.0,0.377513433127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
0.319703018932,0.636363636364,0.549115272821,0.731445660096,0.319703018932,-1.0,0.508048579812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
0.292407362113,0.363636363636,0.445170874834,0.495207276003,0.292407362113,-1.0,0.358237142706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.371402968531,0.181818181818,0.489567401065,0.557890659782,0.371402968531,-1.0,0.626164971851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
0.288170445697,0.454545454545,0.683165109767,0.82659667867,0.288170445697,1.0,0.308760346058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0.410085711545,0.272727272727,0.598602427155,0.781397720398,0.410085711545,-1.0,0.341153979435,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
0.515939573936,0.545454545455,0.785777590378,0.636327638009,0.515939573936,-1.0,0.827233272945,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
0.292728694685,0.454545454545,0.498255954665,0.600328345133,0.292728694685,0.0,0.506560457731,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
0.336416760312,0.272727272727,0.534953664645,0.513151918413,0.336416760312,-1.0,0.364833462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
0.361043085353,0.181818181818,0.466278612743,0.490514235998,0.361043085353,-1.0,0.332177970598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.36044556719,0.0909090909091,0.450979418291,0.492434392632,0.36044556719,-1.0,0.350764044854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.554241436655,0.0,0.477179536657,0.549608365811,0.554241436655,0.0,0.460554480319,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
0.360571174318,0.363636363636,0.557252171785,0.532950377503,0.360571174318,0.0,0.606113827866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
0.569667527977,0.727272727273,0.581474422987,0.610495854378,0.569667527977,-1.0,0.460529202847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
0.446702542841,0.181818181818,0.483050878666,0.417238854111,0.446702542841,0.0,0.473403793521,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
0.530805839883,0.0909090909091,0.590647013529,0.576492950489,0.530805839883,-1.0,0.583571795527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.458662695692,0.545454545455,0.480576107992,0.652783412522,0.458662695692,-1.0,0.402622407659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
0.440890861869,0.545454545455,0.514811711237,0.6271559896,0.440890861869,-1.0,0.420479285608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
