Avg_Satisfaction_with_previous_vote,Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_monthly_expense_when_under_age_21,Will_vote_only_large_party,Garden_sqr_meter_per_person_in_residancy_area,Is_Most_Important_Issue_Other,Is_Most_Important_Issue_Financial,Is_Most_Important_Issue_Environment,Is_Most_Important_Issue_Military,Is_Most_Important_Issue_Education,Is_Most_Important_Issue_Foreign_Affairs,Is_Most_Important_Issue_Social,IdentityCard_Num
0.439269910064,0.272727272727,0.571873230265,0.558521200957,0.439269910064,-1,0.416615230891,0,0,0,0,0,0,0,1
0.42435219898,0.0909090909091,0.631148341955,0.529979233884,0.42435219898,0,0.429029344422,0,0,0,1,0,0,0,2
0.63385577106,0.818181818182,0.820970855964,0.71184719493,0.63385577106,1,0.415658212582,0,0,1,0,0,0,0,3
0.299066160276,0.0,0.543039270263,0.551528268112,0.299066160276,-1,0.416451912095,0,1,0,0,0,0,0,4
0.20357285769,0.909090909091,0.757917396084,0.797218375722,0.20357285769,1,0.194697841682,0,0,1,0,0,0,0,5
0.56783778697,0.0,0.550395316528,0.516974413439,0.56783778697,-1,0.411216755067,0,1,0,0,0,0,0,6
0.325513541419,0.0,0.502157699541,0.500406620545,0.325513541419,-1,0.37458448956,0,1,0,0,0,0,0,7
0.291826705277,0.0909090909091,0.404992971389,0.693319879991,0.291826705277,-1,0.402597175373,0,1,0,0,0,0,0,8
0.346631615533,0.454545454545,0.72519305615,0.822746522349,0.346631615533,-1,0.348370454406,0,1,0,0,0,0,0,9
0.337185072512,0.0,0.491562192897,0.514380063493,0.337185072512,-1,0.385737831168,0,1,0,0,0,0,0,10
0.733224136564,0.636363636364,0.440216803967,0.288833321654,0.733224136564,1,0.3119094891,0,0,1,0,0,0,0,11
0.543948200125,0.545454545455,0.590673072126,0.5615410938,0.543948200125,-1,0.485314235592,0,0,1,0,0,0,0,12
